=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T22:55:04
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,2.5
Макс VR,10
Дней сигнала,1
ATR мин %,1.2
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.45
Макс дн. доходность %,10
VR подтверждение,1.5
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,22
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7
ULTRA maxHold,15
ULTRA TS after,6
ULTRA TS dist %,2.6
STRONG minVR,6.5
STRONG maxHold,13
STRONG TS after,6
STRONG TS dist %,1.8
BASE minVR,2.5
BASE maxHold,10
BASE TS after,5
BASE TS dist %,1.4

=== ИТОГИ ===
Всего сделок,1292
Средняя доходность %,3.41
Медианная доходность %,1.10
Win rate %,63.1
Profit factor,4.25
Sharpe,2.32
Макс просадка %,42.37
Общая доходность %,1140373965.52
CAGR %,0.00
Макс выигрыш %,125.04
Макс проигрыш %,-22.12
Ср. выигрыш %,7.08
Ср. проигрыш %,2.85
Макс серия побед,12
Макс серия потерь,8
Ср. удержание дней,4.6
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
134,TORS,S2,BASE,3.84,3.27,2016-07-11,2016-07-12,2016-07-19,0.50,0.39,-22.12,5,cat_stop
135,MRKZ,S2,BASE,3.11,3.74,2016-07-13,2016-07-14,2016-07-21,0.05,0.05,-1.50,5,ts_extend
136,SNGSP,S1,BASE,2.50,1.77,2016-07-14,2016-07-15,2016-07-22,36.06,36.12,0.17,5,ts_extend
137,TGKN,S2,ULTRA,8.97,3.12,2016-07-18,2016-07-19,2016-07-27,0.00,0.00,125.04,6,ts_extend
138,SELG,S2,BASE,5.15,2.33,2016-07-20,2016-07-21,2016-07-25,9.01,7.79,-13.61,2,rotate_atr20
139,MRKK,S2,BASE,3.98,4.01,2016-07-22,2016-07-25,2016-08-01,17.03,17.47,2.62,5,ts_extend
140,MGNT,S1,BASE,4.01,2.62,2016-07-25,2016-07-26,2016-08-02,10491.76,10431.92,-0.57,5,ts_extend
141,MAGEP,S2,BASE,3.28,6.59,2016-07-26,2016-07-27,2016-08-03,2.93,3.30,12.37,5,ts_extend
142,BANE,S2,STRONG,6.71,2.54,2016-07-29,2016-08-01,2016-08-02,3070.91,3050.11,-0.68,1,rotate_atr20
143,STSB,S2,BASE,3.06,3.88,2016-08-01,2016-08-02,2016-08-09,0.30,0.30,-0.40,5,ts_extend
144,LSNG,S2,BASE,4.79,3.92,2016-08-02,2016-08-03,2016-08-10,4.22,5.71,35.24,5,ts_extend
145,MRKC,S2,BASE,3.23,3.78,2016-08-08,2016-08-09,2016-08-16,0.30,0.31,3.32,5,ts_extend
